Job Title,Location,Vacancy Type,Positions Available,Reference Number
Bricklayers and Stonemasons,ADELAIDE SA,Casual,1,273879
Building and Plumbing Labourers,PERTH WA,Casual,5,272412
Building and Plumbing Labourers,ADELAIDE SA,Casual,5,272806
Bus and Coach Drivers,ADELAIDE SA,Casual,16,251607
Bus Driver,PERTH WA,Casual,5,272449
Butchers and Smallgoods Makers,GEPPS CROSS SA,Casual,1,274109
Butchers and Smallgoods Makers,GOLDEN GROVE VILLAGE SA,Casual,1,273829
Butchers and Smallgoods Makers,WHYALLA STUART SA,Casual,1,272624
Cafe worker,GERALDTON WA,Casual,2,273149
Cafe Workers,PORT AUGUSTA SA,Casual,1,274829
Cafe Workers,MUSWELLBROOK NSW,Casual,2,274537
Cafe Workers,HENLEY BEACH SA,Casual,2,274330
Cafe Workers,HENLEY BEACH SA,Casual,1,274331
Cafe Workers,GILLES PLAINS SA,Casual,1,273804
Cafe Workers,MAWSON LAKES SA,Casual,4,267695
Cafe Workers,WHYALLA SA,Casual,1,264575
Call Centre Operator,NOARLUNGA CENTRE SA,F/T 35 hours+,471,262440
Call or Contact Centre Workers,CANNING VALE WA,Casual,1,273756
Call or Contact Centre Workers,ESSENDON VIC,P/T <35 hours,14,261436
Call or Contact Centre Workers,ADELAIDE SA,F/T 35 hours+,12,257703
Call or Contact Centre Workers,MODBURY SA,F/T 35 hours+,68,261083
Car Detailer,MILE END SA,Casual,1,273290
Carpenter / Joiners,PERTH WA,Casual,6,269643
Carpenters and Joiners,WOOLLOOMOOLOO NSW,Casual,20,274575
Carpenters and Joiners,KWINANA BEACH WA,Casual,1,270958
Carpenters and Joiners,MOUNT BARKER SA,Casual,1,272748
Checkout Operators and Office Cashiers,MAHOMETS FLATS WA,Casual,8,272417
Chefs,TORQUAY VIC,Casual,1,274679
Chefs,KENSINGTON SA,Casual,1,265958
Chefs,ADELAIDE SA,Casual,1,274640
Chefs,HENLEY BEACH SA,Casual,1,274321
Chefs,WEST PERTH WA,Casual,2,273041
Chefs,WHYALLA SA,Casual,1,264573
Child Care Worker,PORT AUGUSTA SA,Casual,1,273726
Cleaner,CARRINGTON NSW,Casual,5,252513
Cleaners,WEBBERTON WA,Casual,4,274124
Cleaners,WEBBERTON WA,Casual,4,273803
Cleaners,MAITLAND NSW,Casual,2,273716
Cleaners,ADELAIDE SA,Casual,5,273325
Cleaners,ADELAIDE SA,Casual,4,272855
Cleaners,PORT AUGUSTA SA,Casual,4,270132
Clerical & Administrative Workers,EDINBURGH SA,Casual,1,274859
Clerical & Administrative Workers,DULWICH SA,P/T <35 hours,1,274878
Clerical & Administrative Workers,PORT AUGUSTA SA,Casual,1,274831
Clerical & Administrative Workers,WOODVILLE SA,Casual,1,272506
Clerical & Administrative Workers,EAST PERTH WA,Casual,10,274315
Clerical & Administrative Workers,PERTH WA,Casual,1,273541
Clerical & Administrative Workers,MELBOURNE VIC,Casual,1,273340
Clerical & Administrative Workers,PERTH WA,Casual,1,273538
Clerical & Administrative Workers,WHYALLA SA,Casual,4,262682
Commercial / Industrial Cleaner,Adelaide Airport SA ,F/T 35 hours+,1,273179
Commercial / Industrial Cleaner,BERESFIELD NSW,Casual,3,272937
Commercial Cleaners,WHYALLA SA,Casual,6,274571
Commercial Cleaners,MAITLAND NSW,Casual,6,274269
Commercial Cleaners,NEWCASTLE NSW,Casual,4,274270
Commercial Cleaners,NEWCASTLE NSW,Casual,4,274276
Commercial Cleaners,WHYALLA NORRIE SA,Casual,6,270855
Commercial Cleaners,NEWCASTLE NSW,Casual,3,273881
Commercial Cleaners,WHYALLA SA,Casual,1,269838
Commercial Cleaners,PORT AUGUSTA SA,Casual,10,273025
Commercial Cleaners,NAIRNE SA,Casual,1,272850
Commercial Cleaners,PORT AUGUSTA SA,Casual,5,272954
Commercial Cleaners,WHYALLA NORRIE SA,Casual,2,272531
Commercial Cleaners,WHYALLA SA,Casual,4,272439
Commercial Cleaners,COORANBONG NSW,Casual,1,269963
Commercial Cleaners,WHYALLA SA,Casual,4,267146
Community Support Worker,KURRI KURRI NSW,Casual,3,272817
Concrete Labourer,BELMONT WA,Casual,5,273141
Concrete Labourer,DIANELLA WA,F/T 35 hours+,2,273044
Concreter,PERTH WA,Casual,2,274172
Concreters,DRY CREEK SA,Casual,2,274671
Concreters,MAYFIELD NSW,F/T 35 hours+,4,273346
Concreters,HOLDEN HILL SA,Casual,1,273348
Concreters,KUDLA SA,Casual,1,273517
Concreters,HAMILTON NSW,Casual,2,272314
Construction and Mining Labourers,OLYMPIC DAM SA,Casual,1,274550
Construction and Mining Labourers,PERTH WA,Casual,20,274341
Construction and Mining Labourers,SINGLETON NSW,Casual,4,273545
Construction and Mining Labourers,SINGLETON NSW,F/T 35 hours+,4,272730
Construction and Mining Labourers,WHYALLA SA,Casual,3,272618
Construction and Mining Labourers,SINGLETON NSW,F/T 35 hours+,4,272729
Construction and Mining Labourers,SINGLETON NSW,F/T 35 hours+,10,270149
Construction Managers,ADELAIDE SA,Casual,5,272716
Container Unloader,INGLEBURN NSW,Casual,47,271319
Container Unloader,PRESTONS NSW,Casual,47,271319
"Contract, Program and Project Administrators",NEWCASTLE NSW,F/T 35 hours+,1,273262
Cook,PORT AUGUSTA SA,Casual,1,274305
Cook,STIRLING NORTH SA ,Casual,1,272972
Cook,BASKERVILLE WA,Casual,1,272719
Cooks,NORTH ADELAIDE SA,Casual,1,267660
Cooks,GAWLER SA,Casual,1,272190
Cooks,DUDLEY PARK SA,Casual,1,273777
Couriers and Postal Deliverers,NEWCASTLE NSW,Casual,4,273739
"Crane, Hoist and Lift Operators",WHYALLA SA,Casual,4,273254
"Crane, Hoist and Lift Operators",THORNTON NSW,F/T 35 hours+,1,272721
"Crane, Hoist and Lift Operators",MILE END SA,Casual,1,272321
Customer Service Officer,PERTH WA,Casual,1,274651
Customer Service Officer,MELBOURNE VIC,P/T <35 hours,5,273523
Delivery Driver,WEST SWAN WA,Casual,30,274281
Delivery Driver,PORT AUGUSTA SA,Casual,1,274294
Delivery Driver,PALMYRA WA,Casual,1,273765
Delivery Driver,PERTH WA,Casual,100,270532
Delivery Drivers,THEBARTON SA,Casual,2,274649
Delivery Drivers,MUSWELLBROOK NSW,Casual,1,274536
Delivery Drivers,STEPNEY SA,Casual,1,272421
Delivery Drivers,WHYALLA NORRIE SA,Casual,12,272400
Diesel Mechanic,PERTH WA,F/T 35 hours+,1,273153
Disability Support Worker,JOONDALUP WA,Casual,40,274328
Disability Support Worker,JOONDALUP WA,Casual,10,273306
Disability Support Worker,ROCKINGHAM WA,Casual,10,273306
Disability Support Worker,CHADSTONE VIC,Casual,10,273309
Disability Support Worker,SOUTH MELBOURNE VIC,Casual,10,273309
Disability Support Worker,CAMPBELLTOWN NSW,Casual,50,261587
Domestic Cleaners,NEWCASTLE NSW,Casual,6,274648
Domestic Cleaners,PERTH WA,Casual,1,273758
Domestic Cleaners,WEST PERTH WA,Casual,5,273042
Domestic Cleaners,MALAGA WA,Casual,1,270533
Domestic Cleaners,RYDE NSW,Casual,10,271080
Driller's Assistant,PERTH WA,Casual,5,271473
"Drillers, Miners and Shot Firers",WANGARA WA,Casual,4,270753
Early Childhood (Pre-primary School) Teachers,ALDINGA BEACH SA,Casual,3,274138
Early Childhood (Pre-primary School) Teachers,BANKSTOWN NSW,Casual,10,261801
Earthmoving Plant Operators,TELFER WA,Casual,5,272808
Earthmoving Plant Operators,MAWSON LAKES SA,Casual,1,272834
Earthmoving Plant Operators,NEWTON SA,Casual,1,272714
Earthmoving Plant Operators,LONSDALE SA,Casual,1,272447
Earthmoving Plant Operators,SHAILER PARK QLD,Casual,1,272447
Earthmoving Plant Operators,CANNING VALE WA,Casual,3,266329
Earthmoving Plant Operators,LIPSON SA,Casual,5,262216
Electorate Officer,SYDNEY NSW,Casual,50,268422
Electricians,SOMERTON PARK SA,Casual,1,274122
Electricians,MADDINGTON WA,Casual,1,273863
Enrolled and Mothercraft Nurses,WHYALLA NORRIE SA,Casual,1,274644
Estimator,LONSDALE SA,Casual,1,274320
Factory Process Workers,LOBETHAL SA,Casual,1,274847
Factory Process Workers,KILBURN SA,Casual,1,274695
Factory Process Workers,BEVERLEY SA,Casual,1,274711
Factory Process Workers,TULLAMARINE VIC,P/T <35 hours,20,274543
Factory Process Workers,DANDENONG SOUTH VIC,P/T <35 hours,10,274289
Factory Process Workers,RAVENHALL VIC,F/T 35 hours+,7,273849
Factory Process Workers,LARA VIC,Casual,1,269659
Factory Process Workers,GAWLER BELT SA,Casual,2,270979
Factory Process Workers,WINGFIELD SA,Casual,4,270722
Factory Process Workers,EAST PERTH WA,Casual,10,272815
Factory Process Workers,WETHERILL PARK NSW,Casual,9,264816
Factory Process Workers,DOREEN VIC,P/T <35 hours,20,267771
Factory Process Workers,DERRIMUT VIC,P/T <35 hours,5,266183
Factory Process Workers,GILLMAN SA,Casual,5,262736
Factory Process Workers,FOOTSCRAY VIC,P/T <35 hours,20,261947
Factory Process Workers,YARRAVILLE VIC,P/T <35 hours,20,261949
Factory Worker,DANDENONG SOUTH VIC,Casual,3,274866
Factory Worker,COLDSTREAM VIC,P/T <35 hours,2,274107
Farm Hand,GINGIN WA,Casual,15,272976
"Farm, Forestry and Garden Workers",FLINDERS UNIVERSITY SA,Casual,6,273883
"Farm, Forestry and Garden Workers",FLINDERS UNIVERSITY SA,Casual,6,273885
"Farm, Forestry and Garden Workers",PORT LINCOLN SA,Casual,1,273746
"Farm, Forestry and Garden Workers",EDINBURGH SA,Casual,1,272845
Fast Food Cooks,GAWLER SA,Casual,1,273835
Fitter and Turner,PERTH WA,Casual,1,274173
Food and Beverage Attendant,PORT AUGUSTA SA,Casual,3,272959
Food and Beverage Attendant,STIRLING NORTH SA ,Casual,5,272971
Food and Drink Factory Workers,HINDMARSH SA,Casual,1,274540
Food and Drink Factory Workers,DUDLEY PARK SA,F/T 35 hours+,1,265498
Food and Drink Factory Workers,LOBETHAL SA,Casual,1,272846
Food and Drink Factory Workers,BALHANNAH SA,Casual,1,272324
Food and Drink Factory Workers,PORT LINCOLN SA,Casual,9,261042
Forestry and Logging Workers,PERTH WA,Casual,1,272343
Forklift Driver,OSBORNE PARK WA,Casual,2,274171
Forklift Driver,WINGFIELD SA,Casual,1,273874
Forklift Driver,WHYALLA SA,Casual,1,273838
Forklift Driver,KEWDALE WA,Casual,1,273764
Forklift Driver,SMEATON GRANGE NSW,Casual,7,267885
Forklift Drivers,MERNDA VIC,P/T <35 hours,10,274674
Forklift Drivers,WINGFIELD SA,Casual,1,274690
Forklift Drivers,HALLAM VIC,P/T <35 hours,10,274719
Forklift Drivers,TRUGANINA VIC,P/T <35 hours,10,274774
Forklift Drivers,BROADMEADOWS VIC,P/T <35 hours,20,274527
Forklift Drivers,KILKENNY SA,Casual,3,273775
Forklift Drivers,BAYSWATER VIC,P/T <35 hours,1,274123
Forklift Drivers,GAWLER BELT SA,Casual,2,270985
Forklift Drivers,HENDON SA,Casual,6,273855
Forklift Drivers,PORT ADELAIDE SA,Casual,2,271887
Forklift Drivers,CANNING VALE WA,Casual,5,273278
Forklift Drivers,SMITHFIELD NSW,Casual,49,272703
Forklift Drivers,MOUNT THORLEY NSW,Casual,2,272707
Forklift Drivers,CANNING VALE WA,Casual,1,270504
Forklift Drivers,HAZELMERE WA,Casual,1,272327
Forklift Drivers,MERNDA VIC,P/T <35 hours,10,268643
Forklift Drivers,INGLEBURN NSW,Casual,10,265501
Freight and Furniture Handlers,HOXTON PARK NSW,Casual,20,274701
Freight and Furniture Handlers,MAYFIELD WEST NSW,Casual,3,273246
Fruit Picker,CANNING VALE WA,Casual,7,273350
Gaming Workers,WHYALLA SA,Casual,1,272822
Gaming Workers,WHYALLA NORRIE SA,Casual,1,267276
Garden and Nursery Labourers,ABERFOYLE PARK SA,Casual,3,274296
Gardener,HOLDEN HILL SA,Casual,1,273858
Gardeners,KUDLA SA,Casual,1,273515
Gardeners,VERDUN SA,Casual,1,272853
Gardeners,SEVEN HILLS NSW,Casual,2,269328
General Labourer,SOMERTON VIC,F/T 35 hours+,3,273708
General Labourer,NEWCASTLE NSW,Casual,10,274105
General Labourer,MELBOURNE VIC,Casual,5,273341
General Labourer,PERTH WA,F/T 35 hours+,3,272948
General Labourer,ONKAPARINGA HILLS SA,Casual,2,272401
Glaziers,PORT ADELAIDE SA,Casual,1,274652
Groundsman,SWANBOURNE WA,Casual,1,273825
Groundsman,BAYSWATER WA,Casual,10,272858
Groundsman,MIDLAND WA,Casual,10,272858
Groundsman,WELSHPOOL WA,Casual,10,272858
Hairdressers,SMITHFIELD SA,Casual,1,272715
Hairdressers,ARMADALE WA,Casual,1,266478
Heavy Diesel Mechanic,SYDNEY NSW,F/T 35 hours+,6,269212
Home Carer,NEWCASTLE NSW,Casual,3,274151
Home Carer,CANNING VALE WA,Casual,15,271661
Home Carer,MORLEY WA,Casual,15,272974
Hospitality Worker,PERTH WA,Casual,15,273135
Hospitality Worker,PERTH WA,Casual,10,269666
Housekeepers,NELSON BAY NSW,Casual,6,272936
Housekeepers,FISHING POINT NSW,Casual,1,271599
Housekeepers,PERTH WA,Casual,2,273314
Housekeepers,LOVEDALE NSW,Casual,4,273047
Housekeepers,WHYALLA NORRIE SA,Casual,1,272610
Housekeepers,WHYALLA SA,Casual,2,267863
Housekeeping / Room Attendant,PORT AUGUSTA SA,Casual,1,273740
Housekeeping / Room Attendant,BALCATTA WA,Casual,3,272413
Insulation and Home Improvement Installers,SOMERTON PARK SA,Casual,1,274113
Kitchenhand,GAWLER EAST SA,Casual,1,266787
Kitchenhand,SOUTH KINGSVILLE VIC,Casual,1,273830
Kitchenhand,FREMANTLE WA,Casual,14,272950
Kitchenhands,GERALDTON WA,Casual,2,273820
Kitchenhands,WHYALLA SA,Casual,1,262683
Kitchenhands,COORANBONG NSW,Casual,2,273029
Labourer,WHYALLA SA,Casual,10,274554
Labourer,PORT ADELAIDE SA,Casual,1,265393
Labourer,RAYMOND TERRACE NSW,Casual,4,273795
Labourer,STIRLING WA,Casual,12,273327
Labourer,HEATHERBRAE NSW,F/T 35 hours+,1,273269
Labourer,BASSENDEAN WA,Casual,2,273134
Labourer,ARMADALE WA,Casual,4,269657
Labourer,BROOKLYN VIC,Casual,8,267593
Landscaper,MELBOURNE VIC,Casual,2,274562
Landscaper,NEWCASTLE NSW,F/T 35 hours+,1,274567
Landscaper,MAITLAND NSW,F/T 35 hours+,1,272809
Laundry Workers,DANDENONG VIC,Casual,1,273834
Machine Operator,SOMERTON VIC,F/T 35 hours+,20,274782
Machine Operator,SUNSHINE VIC,Casual,4,262347
Machine Operators,BRAESIDE VIC,P/T <35 hours,1,274542
Machine Operators,GAWLER SA,Casual,5,273882
Machine Operators,LONSDALE SA,Casual,1,271497
Machine Operators,WHYALLA SA,Casual,9,266463
Machine Operators,DERRIMUT VIC,P/T <35 hours,10,268645
Machine Operators,BROMPTON SA,Casual,10,261746
Maintenance Worker,DANDENONG SOUTH VIC,P/T <35 hours,1,273503
Manufacturers,TULLAMARINE VIC,P/T <35 hours,20,274528
Manufacturers,CROYDON PARK SA,Casual,5,273797
Manufacturers,WHYALLA NORRIE SA,Casual,1,273287
Massage Therapists,BLACKWOOD SA,Casual,1,271600
"Meat Boners and Slicers, and Slaughterers",WHITTINGHAM NSW,F/T 35 hours+,5,273253
"Meat, Poultry and Seafood Process Workers",CAVAN SA,Casual,1,274539
"Meat, Poultry and Seafood Process Workers",ROYAL PARK SA,Casual,1,272307
"Meat, Poultry and Seafood Process Workers",WOOROLOO WA,Casual,6,273625
"Meat, Poultry and Seafood Process Workers",WELLAND SA,Casual,3,265623
"Meat, Poultry and Seafood Process Workers",NARACOORTE SA,F/T 35 hours+,5,270072
"Meat, Poultry and Seafood Process Workers",LOBETHAL SA,Casual,120,273148
"Meat, Poultry and Seafood Process Workers",CANNING VALE WA,Casual,14,269959
"Meat, Poultry and Seafood Process Workers",BORDERTOWN SA,Casual,10,272207
"Meat, Poultry and Seafood Process Workers",CHULLORA NSW,Casual,48,271463
"Meat, Poultry and Seafood Process Workers",SCONE NSW,Casual,5,267897
"Meat, Poultry and Seafood Process Workers",PORT WAKEFIELD SA,Casual,10,259230
"Metal Casting, Forging & Finishing Trades",WINGFIELD SA,Casual,1,273319
"Metal Casting, Forging & Finishing Trades",PORT PIRIE SA,Casual,2,273695
Metal Engineering Process Workers,BEVERLEY SA,Casual,2,270171
Metal Engineering Process Workers,GEELONG NORTH VIC,Casual,1,274682
Metal Engineering Process Workers,KILBURN SA,Casual,8,274692
Metal Engineering Process Workers,KILBURN SA,Casual,1,274694
Metal Engineering Process Workers,MOOLAP VIC,Casual,1,274721
Metal Engineering Process Workers,WELSHPOOL WA,Casual,1,273860
Metal Fitters and Machinists,NEWCASTLE NSW,F/T 35 hours+,4,273733
Metal Fitters and Machinists,PORT PIRIE SA,Casual,2,273696
Metal Fitters and Machinists,WHYALLA SA,Casual,2,262126
Meter Reader,WELSHPOOL WA,Casual,5,271653
Mobile Plant Operators,PORT AUGUSTA SA,Casual,1,274704
Motor Mechanic,ENFIELD SA,Casual,1,273301
Motor Mechanics,ADELAIDE SA,Casual,1,273308
Motor Mechanics,ADELAIDE SA,Casual,1,273312
Motor Mechanics,ALDINGA SA,F/T 35 hours+,1,273022
Motor Mechanics,EDWARDSTOWN SA,Casual,1,272960
Motor Mechanics,WETHERILL PARK NSW,Casual,1,272516
Motor Vehicle Parts and Accessories Fitters,WHYALLA SA,Casual,2,272627
Nursery Hand / Garden Labourers / Parks & Gardens,PARRAMATTA NSW,Casual,10,274705
Nursery Hand / Garden Labourers / Parks & Gardens,DANDENONG VIC,F/T 35 hours+,3,274837
Nursing Support and Personal Care Workers,SEATON SA,Casual,1,262762
Nursing Support and Personal Care Workers,NEWCASTLE NSW,Casual,8,273837
Nursing Support and Personal Care Workers,BROOKLYN PARK SA,Casual,1,273862
Nursing Support and Personal Care Workers,PERTH WA,Casual,20,273723
Nursing Support and Personal Care Workers,THORNTON NSW,Casual,4,273345
Nursing Support and Personal Care Workers,WHYALLA SA,Casual,1,273324
Nursing Support and Personal Care Workers,NEWCASTLE NSW,F/T 35 hours+,3,273263
Nursing Support and Personal Care Workers,WHYALLA SA,Casual,2,266002
Nursing Support and Personal Care Workers,NEWCASTLE NSW,Casual,6,273145
Nursing Support and Personal Care Workers,OAKLANDS PARK SA,Casual,1,273146
Nursing Support and Personal Care Workers,TERALBA NSW,Casual,1,272961
Nursing Support and Personal Care Workers,SANDGATE NSW,Casual,2,272740
Nursing Support and Personal Care Workers,SANDGATE NSW,Casual,2,272742
Nursing Support and Personal Care Workers,SANDGATE NSW,Casual,4,272744
Nursing Support and Personal Care Workers,ADELAIDE SA,Casual,3,261086
Nursing Support and Personal Care Workers,ELIZABETH SA,Casual,10,272503
Office Managers,BROMPTON SA,Casual,1,272814
Other Clerical and Office Support Workers,GERALDTON WA,Casual,1,273802
Other Clerical and Office Support Workers,WHYALLA SA,Casual,1,273519
Other Clerical and Office Support Workers,WHYALLA NORRIE SA,Casual,1,272726
Other Clerical and Office Support Workers,PERTH WA,Casual,1,272436
Other Factory Process Workers,WINGFIELD SA,Casual,1,273371
Other Hospitality Workers,PERTH WA,Casual,10,270530
Other Hospitality Workers,PORT LINCOLN SA,Casual,5,273039
Other Hospitality Workers,CHARLESTOWN NSW,Casual,6,273049
Other Hospitality Workers,WOODSIDE SA,Casual,1,272851
Other Hospitality Workers,YULARA NT,Casual,5,251851
Other Miscellaneous Labourers,DANDENONG VIC,P/T <35 hours,4,274862
Other Miscellaneous Labourers,PERTH WA,Casual,10,274889
Other Miscellaneous Labourers,KILBURN SA,Casual,2,274693
Other Miscellaneous Labourers,KILBURN SA,Casual,3,274841
Other Miscellaneous Labourers,KILBURN SA,Casual,3,274842
Other Miscellaneous Labourers,WHYALLA SA,Casual,250,267278
Other Miscellaneous Labourers,WHYALLA NORRIE SA,Casual,1,268815
Other Miscellaneous Labourers,SYDNEY NSW,Casual,99,272508
Other Miscellaneous Labourers,EDWARDSTOWN SA,Casual,1,268320
Other Miscellaneous Labourers,MILE END SA,Casual,1,274546
Other Miscellaneous Labourers,KILBURN SA,Casual,1,274558
Other Miscellaneous Labourers,PORT AUGUSTA SA,Casual,1,274340
Other Miscellaneous Labourers,CROYDON PARK SA,Casual,1,274143
Other Miscellaneous Labourers,KILBURN SA,Casual,1,274145
Other Miscellaneous Labourers,CROYDON PARK SA,Casual,1,274147
Other Miscellaneous Labourers,CROYDON PARK SA,Casual,1,274149
Other Miscellaneous Labourers,CROYDON PARK SA,Casual,1,274150
Other Miscellaneous Labourers,CHELTENHAM VIC,F/T 35 hours+,2,274156
Other Miscellaneous Labourers,HAZELMERE WA,Casual,1,274285
Other Miscellaneous Labourers,CHRISTIES BEACH SA,Casual,5,274106
Other Miscellaneous Labourers,EAST MAITLAND NSW,Casual,2,274131
Other Miscellaneous Labourers,SOMERTON PARK SA,Casual,1,274132
Other Miscellaneous Labourers,KLEMZIG SA,Casual,1,262908
Other Miscellaneous Labourers,DAW PARK SA,Casual,1,273778
Other Miscellaneous Labourers,DRY CREEK SA,Casual,1,273785
Other Miscellaneous Labourers,NEWCASTLE NSW,F/T 35 hours+,4,273730
Other Miscellaneous Labourers,OSBORNE PARK WA,Casual,5,273714
Other Miscellaneous Labourers,RUTHERFORD NSW,F/T 35 hours+,2,273729
Other Miscellaneous Labourers,ELIZABETH SA,Casual,10,259590
Other Miscellaneous Labourers,MELROSE PARK SA,Casual,3,268321
Other Miscellaneous Labourers,GILLMAN SA,Casual,1,273529
Other Miscellaneous Labourers,WINGFIELD SA,Casual,1,273530
Other Miscellaneous Labourers,MONARTO SA,Casual,3,262119
Other Miscellaneous Labourers,GOLDEN GROVE SA,Casual,1,273299
Other Miscellaneous Labourers,BEVERLEY SA,Casual,2,273305
Other Miscellaneous Labourers,MULGRAVE VIC,P/T <35 hours,10,273326
Other Miscellaneous Labourers,BEVERLEY SA,Casual,5,273333
Other Miscellaneous Labourers,RUTHERFORD NSW,Casual,10,273247
Other Miscellaneous Labourers,ST MORRIS SA,Casual,1,273250
Other Miscellaneous Labourers,PEMULWUY NSW,Casual,9,209048
Other Miscellaneous Labourers,LOCK SA,Casual,60,266879
Other Miscellaneous Labourers,WHYALLA SA,Casual,1,273157
Other Miscellaneous Labourers,WHYALLA SA,Casual,8,273158
Other Miscellaneous Labourers,MASCOT NSW,Casual,17,267498
Other Miscellaneous Labourers,WHYALLA SA,Casual,1,273027
Other Miscellaneous Labourers,PORT AUGUSTA SA,Casual,1,272831
Other Miscellaneous Labourers,WHYALLA SA,Casual,1,272852
Other Miscellaneous Labourers,PERTH WA,Casual,3,272951
Other Miscellaneous Labourers,INGLEBURN NSW,Casual,81,255133
Other Miscellaneous Labourers,PADSTOW NSW,Casual,81,255133
Other Miscellaneous Labourers,TAREN POINT NSW,Casual,81,255133
Other Miscellaneous Labourers,WHYALLA SA,Casual,2,272617
Other Miscellaneous Labourers,WHYALLA SA ,Casual,5,272629
Other Miscellaneous Labourers,ADELAIDE SA,Casual,3,272706
Other Miscellaneous Labourers,WHYALLA NORRIE SA,Casual,6,272725
Other Miscellaneous Labourers,CANNING VALE WA,Casual,5,268907
Other Miscellaneous Labourers,GEPPS CROSS SA,Casual,3,271038
Other Miscellaneous Labourers,WHYALLA NORRIE SA,Casual,1,261806
Other Miscellaneous Labourers,WHYALLA SA,Casual,6,266469
Other Miscellaneous Labourers,WHYALLA SA,Casual,11,266472
Other Miscellaneous Labourers,WHYALLA SA,Casual,9,266473
Other Miscellaneous Labourers,WHYALLA SA,Casual,5,268398
Other Miscellaneous Labourers,GILLMAN SA,Casual,1,269835
Other Miscellaneous Labourers,MAITLAND NSW,Casual,5,272019
Other Miscellaneous Labourers,SCONE NSW,Casual,1,271039
Other Miscellaneous Labourers,MAITLAND NSW,Casual,2,269880
Other Miscellaneous Labourers,GREENWOOD WA,Casual,1,269519
Other Miscellaneous Labourers,WHYALLA SA,Casual,1,262534
Other Miscellaneous Labourers,EPPING VIC,P/T <35 hours,17,261946
Packers,CAVAN SA,Casual,1,269875
Packers,GEPPS CROSS SA,Casual,6,268411
Packers,THEBARTON SA,Casual,1,273840
Packers,EDINBURGH SA,Casual,20,259594
Packers,DRY CREEK SA,Casual,5,273516
Packers,LOVEDALE NSW,Casual,3,273275
Packers,CANNING VALE WA,Casual,2,273283
Packers,ENFIELD NSW,Casual,9,266613
Packers,JANDAKOT WA,Casual,10,272433
Packers,PRESTONS NSW,Casual,44,245531
Packers,MELBOURNE VIC,P/T <35 hours,10,268647
Painting Trades Workers,GEELONG VIC,Casual,4,274260
Painting Trades Workers,EDINBURGH SA,Casual,1,272406
Personal Service Workers,WHYALLA SA,Casual,1,273799
Pick Packer,GIRRAWEEN NSW,Casual,49,266647
Pick Packer,EASTERN CREEK NSW,Casual,49,259756
Pick Packer,REEVES PLAINS SA,F/T 35 hours+,1,269314
Pick Packer,DANDENONG VIC,F/T 35 hours+,5,273543
Pick Packer,YENNORA NSW,Casual,7,270616
Pick Packer,DANDENONG SOUTH VIC,Casual,5,272940
Pick Packer,MELBOURNE VIC,P/T <35 hours,10,256836
Plant Operator,MELBOURNE VIC,P/T <35 hours,1,273509
Plumber,OSBORNE PARK WA,Casual,5,273139
Plumbers,WHYALLA SA,Casual,1,272749
"Process Worker - Meat, Poulty and Seafood",LAVERTON VIC,Casual,30,270721
"Process Worker - Meat, Poulty and Seafood",TAHMOOR NSW,Casual,30,265361
"Process Worker - Meat, Poulty and Seafood",DANDENONG SOUTH VIC,F/T 35 hours+,9,271345
Product Assemblers,SALISBURY SA,Casual,4,271893
